First Name (AR),Last Name (AR),Role/Type,Account ID,Account Number,Parent Account,Username (EN),Password,Mobile,Create Date,Expiry Date,Status
محمد,الهاجري,Employee Admin,E,E-897023523,,admin,test1234,567747771,26/01/2024,14/04/2027,Active
فهد,القحطاني,Sub-Admin,E,E-494861447,E-897023523,falqhtany43,test1234,521637985,21/01/2024,14/08/2026,Active
ماجد,العسيري,Sub-Admin,E,E-843145019,E-897023523,malasyry28,test1234,547627018,13/05/2025,01/04/2026,Active
هيا,المطيري,Provider Customer,P,P-491223292,,halmtyry34,test1234,564184827,27/06/2024,16/02/2027,Active
يزيد,الرويشد,Provider Customer,P,P-435862636,,yalrwyshd69,test1234,577122669,21/11/2023,29/08/2027,Active
هند,السدحان,Provider Customer,P,P-520423312,,halsdhan80,test1234,512196062,26/09/2024,24/11/2023,Not Active
نوف,البراهيم,Provider Customer,P,P-349219562,,nalbrahym90,test1234,597575643,31/08/2024,07/09/2024,Not Active
يوسف,التركي,Provider Customer,P,P-795815977,,yaltrky82,test1234,565997585,13/11/2023,24/11/2024,Not Active
سيف,الزهراني,Provider Customer,P,P-574138265,,salzhrany11,test1234,537817930,23/07/2025,10/09/2025,Not Active
ناصر,الدوسري,Provider Customer,P,P-474514102,,naldwsry56,test1234,538832946,11/10/2023,27/12/2026,Active
تركي,الغامدي,Provider Customer,P,P-893360321,,talghamdy74,test1234,515556152,06/02/2025,12/02/2025,Not Active
ماجد,المهيدب,Provider Customer,P,P-736510518,,malmhydb28,test1234,539143694,26/10/2024,04/06/2026,Active
مشاعل,البلوي,Provider Customer,P,P-125192900,,malblwy57,test1234,592827084,18/07/2024,31/10/2024,Not Active
سيف,القصيبي,Provider Customer,P,P-952136058,,salqsyby67,test1234,585193859,01/04/2024,26/02/2025,Not Active
سلمان,البابطين,Provider Customer,P,P-265660166,,salbabtyn72,test1234,574184680,16/04/2025,09/08/2025,Not Active
نوف,العوفي,Provider Customer,P,P-246228227,,nalawfy54,test1234,549804061,29/03/2024,26/05/2027,Active
رائد,الحارثي,Provider Customer,P,P-756463523,,ralharthy70,test1234,579164728,20/02/2025,08/04/2026,Active
نهاد,الرويشد,Provider Customer,P,P-635612103,,nalrwyshd26,test1234,542459559,02/11/2023,21/09/2023,Not Active
نوف,السويلم,Provider Customer,P,P-709570103,,nalswylm52,test1234,539293372,13/10/2024,10/11/2026,Active
نواف,الرويشد,Provider Customer,P,P-841492362,,nalrwyshd98,test1234,531315748,03/10/2024,19/06/2026,Active
أحمد,المحمدي,Provider Customer,P,P-774591156,,aalmhmdy14,test1234,589491178,18/10/2023,10/12/2025,Active
يوسف,الزهراني,Provider Customer,P,P-508815775,,yalzhrany50,test1234,540180122,01/03/2024,20/02/2025,Not Active
إبراهيم,البسام,Provider Customer,P,P-796009784,,ialbsam98,test1234,537072351,25/11/2024,20/08/2024,Not Active
محمد,الحربي,Provider Customer,P,P-316504268,,malhrby47,test1234,546549891,06/03/2025,11/08/2027,Active
جواهر,المهيدب,Provider Customer,P,P-900277102,,jalmhydb19,test1234,593725552,20/11/2024,15/07/2025,Not Active
إبراهيم,الراجحي,Provider Customer,P,P-668862320,,ialrajhy20,test1234,569516006,04/09/2024,01/10/2026,Active
يوسف,العنزي,Provider Customer,P,P-120560468,,yalanzy59,test1234,557484176,28/04/2025,26/12/2024,Not Active
وليد,الماجد,Provider Customer,P,P-147164978,,walmajd60,test1234,526256423,30/09/2023,27/07/2027,Active
نواف,القباع,Provider Customer,P,P-950272195,,nalqbaa55,test1234,557643629,06/05/2025,28/12/2023,Not Active
حسن,الماجد,Provider Customer,P,P-383498573,,halmajd95,test1234,521948353,06/02/2025,04/08/2024,Not Active
ريم,البراهيم,Provider Customer,P,P-275988121,,ralbrahym85,test1234,576713588,06/06/2025,12/09/2027,Active
ريم,الشايع,Provider Customer,P,P-477978910,,ralshaya71,test1234,513190893,18/09/2023,23/09/2025,Active
خالد,المطيري,Provider Customer,P,P-435918743,,khalmtyry48,test1234,553415376,03/12/2024,28/09/2026,Active
رائد,المهيدب,Provider Customer,P,P-428805136,,ralmhydb47,test1234,519712516,13/01/2025,24/10/2025,Active
